Way 1: 
180:{'tag': '0000000001001101001111', 'val': 1, 'data': 0}
181:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
182:{'tag': '0000000001001101010100', 'val': 1, 'data': 0}
183:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
184:{'tag': '0000000001001101010100', 'val': 1, 'data': 0}
185:{'tag': '0001000000000001110110', 'val': 1, 'data': 0}
186:{'tag': '0000000001001101101011', 'val': 1, 'data': 0}
187:{'tag': '0001000000000000000100', 'val': 1, 'data': 0}
188:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
189:{'tag': '0001000000000000000100', 'val': 1, 'data': 0}
190:{'tag': '0000000001001101101011', 'val': 1, 'data': 0}
191:{'tag': '0001000000000001110110', 'val': 1, 'data': 0}
192:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
193:{'tag': '0001000000000010001111', 'val': 1, 'data': 0}
194:{'tag': '0000000001001101010100', 'val': 1, 'data': 0}
195:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
196:{'tag': '0000000001001101101011', 'val': 1, 'data': 0}
197:{'tag': '0001000000000001110110', 'val': 1, 'data': 0}
198:{'tag': '0000000001001101000110', 'val': 1, 'data': 0}
199:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
200:{'tag': '0000000001001101100111', 'val': 1, 'data': 0}
201:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
202:{'tag': '0000000001001101101001', 'val': 1, 'data': 0}
203:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
204:{'tag': '0000000001001101101011', 'val': 1, 'data': 0}
205:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
206:{'tag': '0000000001001101101011', 'val': 1, 'data': 0}
207:{'tag': '0001000000000010001011', 'val': 1, 'data': 0}
208:{'tag': '0000000001001101101011', 'val': 1, 'data': 0}
209:{'tag': '0001000000000010001001', 'val': 1, 'data': 0}
210:{'tag': '0000000001001101101011', 'val': 1, 'data': 0}
211:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
212:{'tag': '0000000001001101101011', 'val': 1, 'data': 0}
213:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
214:{'tag': '0000000001001101101011', 'val': 1, 'data': 0}
215:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
216:{'tag': '0000000001001101101110', 'val': 1, 'data': 0}
217:{'tag': '0001000000000000000011', 'val': 1, 'data': 0}
218:{'tag': '0000000001001101100111', 'val': 1, 'data': 0}
219:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
220:{'tag': '0000000001001101101110', 'val': 1, 'data': 0}
221:{'tag': '0001000000000000000011', 'val': 1, 'data': 0}
222:{'tag': '0000000001001101101110', 'val': 1, 'data': 0}
223:{'tag': '0111111111111111011111', 'val': 1, 'data': 0}
224:{'tag': '0000000001001101001010', 'val': 1, 'data': 0}
225:{'tag': '0001000000000010001111', 'val': 1, 'data': 0}
226:{'tag': '0000000001001101001111', 'val': 1, 'data': 0}
227:{'tag': '0111111111111111011111', 'val': 1, 'data': 0}
228:{'tag': '0000000001001101000110', 'val': 1, 'data': 0}
229:{'tag': '0001000000000010001111', 'val': 1, 'data': 0}
230:{'tag': '0000000001001101100110', 'val': 1, 'data': 0}
231:{'tag': '0111111111111111011111', 'val': 1, 'data': 0}
232:{'tag': '0000000001001101000110', 'val': 1, 'data': 0}
233:{'tag': '0111111111111111011111', 'val': 1, 'data': 0}
234:{'tag': '0000000001001101001010', 'val': 1, 'data': 0}
235:{'tag': '0111111111111111011111', 'val': 1, 'data': 0}
236:{'tag': '0000000001001101001010', 'val': 1, 'data': 0}
237:{'tag': '0001000000000010001111', 'val': 1, 'data': 0}
238:{'tag': '0000000001001101001111', 'val': 1, 'data': 0}
239:{'tag': '0001000000000010001111', 'val': 1, 'data': 0}
240:{'tag': '0000000001001101001111', 'val': 1, 'data': 0}
241:{'tag': '0001000000000010001111', 'val': 1, 'data': 0}
242:{'tag': '0000000001001101001111', 'val': 1, 'data': 0}
243:{'tag': '0001000000000010001111', 'val': 1, 'data': 0}
244:{'tag': '0000000001001101001111', 'val': 1, 'data': 0}
245:{'tag': '0001000000000001101110', 'val': 1, 'data': 0}
246:{'tag': '0000000001001101001111', 'val': 1, 'data': 0}
247:{'tag': '0001000000000001110110', 'val': 1, 'data': 0}
248:{'tag': '0000000001001101001111', 'val': 1, 'data': 0}
249:{'tag': '0001000000000001110110', 'val': 1, 'data': 0}
250:{'tag': '0000000001001101110011', 'val': 1, 'data': 0}
251:{'tag': '0001000000000010001000', 'val': 1, 'data': 0}
252:{'tag': '0000000001001101001011', 'val': 1, 'data': 0}
253:{'tag': '0001000000000001010101', 'val': 1, 'data': 0}
254:{'tag': '0000000001001101001011', 'val': 1, 'data': 0}
255:{'tag': '0111111111111111011010', 'val': 1, 'data': 0}
